Date,Balanced Advantage Category,Corporate Bond Category,Liquid Category,US Equity FOF Category,Large Cap Category,Small Cap Category,Mid Cap Category,Flexi Cap Category,Aggressive Hybrid Category
2019-01-22,150.5028,23.61,779.9398,46.598,114.069,278.33,4815.6968,184.5368,2649.3797
2019-01-23,150.5101,23.5,779.9398,46.888,113.315,277.94,4795.5981,183.8942,2648.4947
2019-01-24,150.5348,23.39,779.9479,46.721,113.471,276.31,4790.8481,167.1692,2648.4599
2019-01-25,150.5547,23.24,779.9479,47.18,112.919,273.69,4712.3525,166.4578,2647.3721
2019-01-28,150.6576,23.26,779.9398,46.253,111.781,268.89,4613.8574,165.6116,2646.1242
2019-01-29,150.6845,23.23,779.9398,46.749,111.801,268.87,4645.4561,165.533,2645.9994
2019-01-30,150.6693,23.24,779.9479,46.331,111.595,269.01,4661.1548,165.7972,2646.2679
2019-01-31,150.7049,23.39,782.7012,47.896,113.469,270.45,4688.8535,166.4384,2647.5612
2019-02-01,150.5492,23.41,782.7012,48.042,113.857,273.3,4719.6021,167.477,2648.0482
2019-02-04,150.5633,23.3,782.6931,48.28,114.301,270.5,4680.4541,167.1883,2647.9973
2019-02-05,150.5966,22.94,782.7012,49.049,114.712,268.0,4631.7563,167.0675,2647.8668
2019-02-06,150.6666,23.38,782.7012,49.5,115.448,269.84,4622.3569,167.7227,2648.9924
2019-02-07,150.9077,23.62,782.7012,49.202,115.698,273.57,4658.0049,168.4226,2649.446
2019-02-08,151.009,23.17,782.7012,48.579,114.644,270.3,4568.5098,167.3048,2648.2269
2019-02-11,151.0908,22.71,782.6931,48.799,114.215,267.09,4491.8638,166.8216,2647.4531
2019-02-12,151.05,22.9,782.7012,48.322,113.579,266.12,4503.6133,166.4249,2646.9266
2019-02-14,151.2698,22.24,782.6931,49.475,112.856,263.7,4506.7632,166.6323,2646.2223
2019-02-15,151.1932,22.63,782.7012,49.345,112.246,260.0,4445.0161,165.6697,2645.4199
2019-02-18,151.131,22.55,782.6931,49.979,111.669,257.48,4405.1187,165.1269,2645.2171
2019-02-19,,22.68,782.7012,49.698,111.376,258.55,4429.0171,227.8259,228.096
2019-02-20,151.2149,23.12,782.7012,49.699,112.317,261.01,4467.8149,165.9636,2646.3965
2019-02-21,151.2293,23.22,782.7012,49.626,112.767,263.4,4512.4126,166.4409,2647.1741
2019-02-22,151.2599,23.67,782.7012,49.592,112.897,264.83,4540.7114,166.6171,2647.3458
2019-02-25,151.3599,23.75,782.6931,49.972,113.654,267.36,4564.4604,167.1253,2648.1459
2019-02-26,151.362,24.0,782.7012,49.67,113.625,267.0,4565.0098,167.2118,2647.761
2019-02-27,151.2991,23.95,782.7012,50.024,112.914,268.0,4582.8091,167.4796,2647.4534
2019-02-28,151.357,24.56,785.1687,50.017,113.36,270.12,4608.6577,167.8144,2647.9011
2019-03-01,151.443,24.86,785.1687,49.967,113.71,272.56,4697.0029,168.5201,2648.7022
2019-03-05,151.6357,25.76,785.1612,50.075,114.889,278.13,4811.897,169.9585,2650.4354
2019-03-06,151.7285,25.96,785.1687,50.158,115.586,280.08,4846.9951,170.375,2651.1792
2019-03-07,151.8551,25.35,785.1687,49.387,115.751,279.52,4820.1968,170.2103,2651.2081
2019-03-08,151.9735,25.39,785.1612,48.619,115.816,279.73,4795.248,170.1224,2651.2848
2019-03-11,152.1524,25.91,785.1612,48.743,117.226,285.6,4911.8418,171.6177,2653.0761
2019-03-12,152.2662,25.87,785.1612,48.717,118.467,288.09,4917.6919,172.4571,2654.1552
2019-03-13,152.2831,25.45,785.1687,49.242,118.824,286.17,4884.3433,172.0373,2654.0711
2019-03-14,152.4552,25.93,785.1687,49.543,118.726,284.83,4889.8433,172.0576,2654.0527
2019-03-15,152.5838,26.54,785.1687,49.206,119.887,284.48,4932.5405,172.0265,2654.689
2019-03-18,152.7412,26.79,785.1612,49.499,119.988,285.39,4922.7412,172.0409,2655.1217
2019-03-19,152.7005,27.08,785.1612,49.084,120.737,286.04,4962.6895,172.1252,2655.8181
2019-03-20,152.7699,26.29,785.1687,49.857,120.665,285.37,4933.9907,172.1192,2654.7452
2019-03-22,152.9006,26.34,785.1687,50.128,119.98,283.52,4897.1929,171.9786,2654.7141
2019-03-25,142.4171,27.18,785.1687,49.495,118.81,281.2,4884.4434,171.0748,2654.1919
2019-03-26,142.4063,27.38,785.1612,49.159,120.393,282.75,4956.1895,171.5817,2655.3344
2019-03-27,142.4266,27.15,785.1612,50.1,120.102,282.02,4973.8384,171.522,2655.113
2019-03-28,142.444,26.87,785.1687,49.494,120.977,284.0,5024.5859,172.417,2656.4306
2019-04-01,,26.98,787.8593,50.511,122.08,289.65,5096.6318,245.4145,251.2791
2019-04-02,143.2454,27.08,787.8514,50.813,122.525,287.29,5102.582,173.4041,2656.9773
2019-04-03,143.216,26.78,787.8514,50.819,122.148,286.47,5035.8853,173.0687,2656.1877
2019-04-04,143.0993,26.82,787.8514,50.9,121.813,286.5,5026.2358,172.911,2655.8886
2019-04-05,142.9577,26.98,787.8514,51.578,122.498,287.38,5078.9829,173.3656,2656.4791
2019-04-08,142.8229,26.74,787.8514,51.951,121.953,285.8,5037.3853,172.9592,2655.8253
2019-04-09,142.8298,27.01,787.8593,52.128,122.445,286.0,5066.3833,173.1631,2656.1596
2019-04-10,142.9046,27.0,787.8593,51.941,121.656,286.6,5039.085,172.9177,2655.3388
2019-04-11,142.8471,27.12,787.8593,51.9,121.694,287.04,5030.4355,172.9903,2654.9785
2019-04-12,142.8054,27.07,787.8593,51.637,122.414,288.25,5061.9341,173.3016,2655.8832
2019-04-15,142.7628,27.22,787.8514,52.218,122.879,289.57,5083.3828,173.6706,2656.6232
2019-04-16,142.7755,27.43,787.8593,52.609,123.753,291.71,5087.6826,174.0674,2657.5278
2019-04-18,142.8003,27.34,787.8593,52.292,123.473,290.07,5033.7354,174.1816,2656.9221
2019-04-22,142.7099,26.91,787.8593,53.056,121.868,285.16,4927.2905,173.2143,2655.4774
2019-04-23,142.717,27.1,787.8593,53.193,121.701,284.59,4928.9907,173.3159,2654.8937
2019-04-24,142.817,27.47,787.8593,53.989,122.936,285.82,4941.9902,173.8549,2655.3804
2019-04-25,142.7254,27.3,787.8514,54.404,122.427,285.39,4914.5415,173.3568,2654.8114
2019-04-26,142.8116,27.23,787.8593,54.389,123.393,285.11,4916.9917,173.5384,2655.8034
2019-04-30,142.9462,27.5,790.379,54.294,123.407,283.21,4862.1943,173.1906,2656.8174
2019-05-02,142.9669,27.41,790.379,53.623,123.179,282.42,4823.3965,172.5368,2656.6627
2019-05-03,142.9162,27.48,790.379,53.323,122.991,281.31,4841.6958,172.2567,2656.7026
2019-05-06,143.0201,27.41,790.3711,52.467,121.831,277.83,4808.1973,171.713,2655.3782
2019-05-07,143.0787,27.19,790.379,53.106,120.897,275.99,4741.7007,171.2639,2654.3766
2019-05-08,143.1504,26.92,790.379,52.748,119.531,272.91,4695.7031,170.2617,2652.9469
2019-05-09,143.18,26.55,790.379,52.588,118.459,272.27,4695.3027,170.1286,2652.531
2019-05-10,143.2079,26.3,790.379,52.646,118.498,271.31,4708.1523,169.8654,2652.4641
2019-05-13,143.3346,25.91,790.379,52.421,117.22,266.62,4588.709,168.938,2650.8881
2019-05-14,143.4783,26.0,790.379,51.479,117.861,267.1,4621.8066,169.0204,2651.441
2019-05-15,143.5038,25.81,790.379,51.372,117.498,265.6,4584.7588,168.6685,2651.1052
2019-05-16,143.5546,26.1,790.379,52.084,118.064,264.82,4602.6079,169.0445,2651.8288
2019-05-17,143.6887,26.25,790.379,52.621,119.629,267.18,4673.7544,169.8859,2653.6203
2019-05-20,143.9976,27.34,790.3711,52.049,123.93,276.78,4881.9434,171.6771,2657.6553
2019-05-21,144.0003,26.96,790.379,51.292,123.068,273.94,4804.5474,170.9044,2656.4872
2019-05-22,144.0646,27.31,790.379,51.103,123.313,274.4,4793.0981,171.2631,2656.8474
2019-05-23,144.3538,27.29,790.379,50.993,122.602,275.23,4788.2979,171.3774,2656.1885
2019-05-24,144.51,27.56,790.379,50.68,124.552,280.01,4909.3418,172.7278,2658.4697
2019-05-27,145.0011,27.99,790.379,50.471,125.033,282.54,5000.9375,173.5756,2659.8392
2019-05-28,145.1418,28.16,790.3711,50.402,125.182,283.4,4991.7876,173.5929,2659.8941
2019-05-29,145.1587,27.85,790.379,50.151,124.753,282.63,4936.2407,173.2752,2658.8588
2019-05-30,145.1312,28.1,790.379,50.197,125.478,282.4,4965.9888,173.2687,2659.5248
2019-05-31,145.5041,28.2,793.0305,49.652,125.249,283.3,4962.5391,173.6703,2659.356
2019-06-03,145.7548,28.59,793.0229,48.937,126.798,287.6,5004.5869,174.3019,2660.554
2019-06-04,145.6843,28.6,793.0305,48.032,126.59,285.78,5011.3364,173.3549,2660.2737
2019-06-06,146.0295,28.62,793.0229,49.925,124.678,279.99,4917.2417,172.5667,2658.8483
2019-06-07,145.8035,28.51,793.0305,50.435,124.892,279.57,4920.4414,172.7213,2657.834
2019-06-10,145.5955,28.27,793.0305,50.72,125.674,280.49,4922.3911,173.1567,2659.5217
2019-06-11,145.6404,28.47,793.0305,51.5,125.622,281.06,4958.9893,173.8825,2659.7927
2019-06-12,145.775,28.33,793.0305,51.655,125.073,280.08,4918.041,173.5254,2659.24
2019-06-13,145.8517,28.26,793.0305,51.463,125.421,280.16,4897.1929,173.3685,2659.5696
2019-06-14,146.087,28.14,793.0305,51.574,124.517,277.9,4853.5947,172.8365,2658.6683
